, Dimensione (n), Mediana (s), Tempi - (s), Tempi + (s)
0, 1000, 3.2e-05, -3.1e-05, +9.8e-05 
1, 1100, 3.8e-05, -3.8e-05, +1.2e-04 
2, 1200, 3.1e-05, -3.1e-05, +9.7e-05 
3, 1300, 3.2e-05, -3.1e-05, +9.2e-05 
4, 1400, 5.2e-05, -5.2e-05, +1.2e-04 
5, 1500, 4.7e-05, -4.7e-05, +1.5e-04 
6, 1600, 4.9e-05, -4.8e-05, +1.5e-04 
7, 1700, 4.9e-05, -4.9e-05, +1.2e-04 
8, 1800, 5.4e-05, -5.3e-05, +1.3e-04 
9, 1900, 6.4e-05, -6.3e-05, +1.3e-04 
10, 2000, 6.8e-05, -6.8e-05, +1.5e-04 
11, 2100, 6.5e-05, -6.5e-05, +2.4e-04 
12, 2200, 6.4e-05, -6.3e-05, +4.2e-04 
13, 2300, 5.9e-05, -5.9e-05, +3.4e-04 
14, 2400, 7.0e-05, -6.9e-05, +1.7e-04 
15, 2500, 7.6e-05, -7.5e-05, +1.9e-04 
16, 2600, 7.5e-05, -7.5e-05, +4.0e-04 
17, 2700, 8.3e-05, -8.2e-05, +1.6e-04 
18, 2800, 8.1e-05, -8.1e-05, +2.8e-04 
19, 2900, 8.3e-05, -8.2e-05, +2.1e-04 
20, 3000, 9.2e-05, -9.1e-05, +2.4e-04 
21, 3100, 1.1e-04, -1.1e-04, +4.5e-04 
22, 3200, 1.1e-04, -1.1e-04, +2.4e-04 
23, 3300, 1.1e-04, -1.1e-04, +3.5e-04 
24, 3400, 1.0e-04, -1.0e-04, +2.6e-04 
25, 3500, 1.1e-04, -1.1e-04, +2.4e-04 
26, 3600, 1.1e-04, -1.0e-04, +2.7e-04 
27, 3700, 1.2e-04, -1.2e-04, +3.2e-04 
28, 3800, 1.2e-04, -1.2e-04, +2.8e-04 
29, 3900, 1.2e-04, -1.2e-04, +2.8e-04 
30, 4000, 1.4e-04, -1.4e-04, +3.8e-04 
31, 4100, 1.3e-04, -1.3e-04, +2.7e-04 
32, 4200, 1.4e-04, -1.4e-04, +6.1e-04 
33, 4300, 1.4e-04, -1.4e-04, +2.9e-04 
34, 4400, 1.4e-04, -1.4e-04, +2.5e-04 
35, 4500, 1.5e-04, -1.5e-04, +3.5e-04 
36, 4600, 1.5e-04, -1.5e-04, +3.6e-04 
37, 4700, 1.9e-04, -1.9e-04, +3.2e-04 
38, 4800, 1.6e-04, -1.6e-04, +4.3e-04 
39, 4900, 1.9e-04, -1.8e-04, +5.4e-04 
40, 5000, 1.7e-04, -1.7e-04, +3.9e-04 
41, 5100, 1.8e-04, -1.8e-04, +4.0e-04 
42, 5200, 1.8e-04, -1.8e-04, +4.9e-04 
43, 5300, 2.1e-04, -2.0e-04, +3.6e-04 
44, 5400, 1.8e-04, -1.8e-04, +7.6e-04 
45, 5500, 1.8e-04, -1.8e-04, +4.5e-04 
46, 5600, 1.7e-04, -1.7e-04, +7.9e-04 
47, 5700, 1.8e-04, -1.8e-04, +5.2e-04 
48, 5800, 1.9e-04, -1.9e-04, +4.1e-03 
49, 5900, 2.2e-04, -2.2e-04, +1.2e-03 
50, 6000, 2.4e-04, -2.4e-04, +1.0e-03 
51, 6100, 2.0e-04, -2.0e-04, +1.3e-03 
52, 6200, 2.2e-04, -2.2e-04, +4.8e-04 
53, 6300, 2.2e-04, -2.2e-04, +7.5e-04 
54, 6400, 2.2e-04, -2.2e-04, +4.1e-04 
55, 6500, 2.2e-04, -2.2e-04, +1.2e-03 
56, 6600, 2.4e-04, -2.4e-04, +1.8e-03 
57, 6700, 2.2e-04, -2.2e-04, +3.8e-04 
58, 6800, 2.5e-04, -2.5e-04, +5.7e-04 
59, 6900, 2.5e-04, -2.5e-04, +5.3e-04 
60, 7000, 2.5e-04, -2.5e-04, +4.7e-04 
61, 7100, 2.5e-04, -2.5e-04, +5.2e-04 
62, 7200, 2.8e-04, -2.8e-04, +1.1e-03 
63, 7300, 2.7e-04, -2.6e-04, +4.6e-04 
64, 7400, 2.7e-04, -2.7e-04, +8.5e-03 
65, 7500, 2.5e-04, -2.5e-04, +5.4e-04 
66, 7600, 2.8e-04, -2.8e-04, +6.8e-04 
67, 7700, 2.6e-04, -2.6e-04, +1.2e-03 
68, 7800, 2.6e-04, -2.6e-04, +6.1e-04 
69, 7900, 2.8e-04, -2.8e-04, +1.3e-03 
70, 8000, 3.1e-04, -3.1e-04, +1.1e-03 
71, 8100, 2.8e-04, -2.8e-04, +3.9e-04 
72, 8200, 2.9e-04, -2.9e-04, +1.0e-03 
73, 8300, 3.0e-04, -3.0e-04, +4.9e-04 
74, 8400, 3.1e-04, -3.1e-04, +6.3e-04 
75, 8500, 3.1e-04, -3.1e-04, +6.1e-04 
76, 8600, 3.1e-04, -3.1e-04, +8.3e-04 
77, 8700, 3.3e-04, -3.3e-04, +6.7e-04 
78, 8800, 3.2e-04, -3.2e-04, +5.6e-04 
79, 8900, 3.3e-04, -3.3e-04, +6.1e-04 
80, 9000, 3.4e-04, -3.4e-04, +1.1e-03 
81, 9100, 3.0e-04, -3.0e-04, +4.9e-04 
82, 9200, 3.3e-04, -3.3e-04, +8.2e-04 
83, 9300, 3.2e-04, -3.2e-04, +1.3e-03 
84, 9400, 3.5e-04, -3.5e-04, +2.2e-03 
85, 9500, 3.4e-04, -3.4e-04, +1.1e-03 
86, 9600, 3.4e-04, -3.4e-04, +1.4e-03 
87, 9700, 3.5e-04, -3.5e-04, +8.2e-04 
88, 9800, 3.4e-04, -3.4e-04, +1.3e-03 
89, 9900, 3.4e-04, -3.4e-04, +6.7e-04 
90, 10000, 3.6e-04, -3.6e-04, +2.1e-03 
